Frame,aggregate_count,total_peptides_in_aggregate,avg_aggregate_size
0,13,823,63.3
1,15,1083,72.2
2,14,1044,74.6
3,18,1190,66.1
4,14,1049,74.9
5,15,1112,74.1
6,22,1572,71.4
7,21,1551,73.9
8,22,1470,66.8
9,23,1753,76.2
10,24,1768,73.7
11,23,1648,71.6
12,22,1590,72.3
13,23,1729,75.2
14,22,1717,78.0
15,26,1871,72.0
16,25,1803,72.1
17,25,1841,73.6
18,25,1909,76.4
19,25,1926,77.0
20,21,1594,75.9
21,31,2220,71.6
22,29,2293,79.1
23,30,2313,77.1
24,30,2330,77.7
25,33,2445,74.1
26,25,1996,79.8
27,31,2395,77.3
28,31,2432,78.4
29,29,2327,80.2
30,28,2169,77.5
31,25,2110,84.4
32,29,2503,86.3
33,28,2489,88.9
34,31,2576,83.1
35,33,2855,86.5
36,34,2881,84.7
37,36,2991,83.1
38,37,2885,78.0
39,28,2529,90.3
40,35,3030,86.6
41,30,2682,89.4
42,34,2947,86.7
43,31,2909,93.8
44,31,2783,89.8
45,32,2953,92.3
46,31,2864,92.4
47,36,3226,89.6
48,34,3311,97.4
49,32,3004,93.9
50,31,3107,100.2
51,34,3253,95.7
52,35,3274,93.5
53,39,3481,89.3
54,36,3619,100.5
55,37,3563,96.3
56,36,3546,98.5
57,34,3576,105.2
58,36,3574,99.3
59,39,3570,91.5
60,39,3823,98.0
61,37,3629,98.1
62,38,3643,95.9
63,33,3622,109.8
64,31,3446,111.2
65,34,3479,102.3
66,35,3561,101.7
67,34,3551,104.4
68,33,3714,112.6
69,37,3721,100.6
70,36,3874,107.6
71,36,3736,103.8
72,34,3752,110.4
73,35,3909,111.7
74,35,3988,113.9
75,36,4020,111.7
76,32,3812,119.1
77,35,3885,111.0
78,34,3742,110.1
79,35,3936,112.5
80,36,4190,116.4
81,35,3971,113.5
82,36,3889,108.0
83,33,3854,116.8
84,35,3913,111.8
85,33,3808,115.4
86,37,3951,106.8
87,33,3768,114.2
88,34,3717,109.3
89,36,3908,108.6
90,35,4019,114.8
91,35,3878,110.8
92,34,4020,118.2
93,36,4268,118.6
94,34,3995,117.5
95,33,3830,116.1
96,32,4111,128.5
97,34,4067,119.6
98,33,3932,119.2
99,36,4206,116.8
100,34,4181,123.0
101,31,4005,129.2
102,32,4071,127.2
103,34,4301,126.5
104,32,3920,122.5
105,32,4047,126.5
106,32,4042,126.3
107,35,4016,114.7
108,34,4163,122.4
109,32,3923,122.6
110,32,3830,119.7
111,32,4197,131.2
112,35,4278,122.2
113,32,4185,130.8
114,34,4245,124.8
115,34,4248,124.9
116,35,4272,122.1
117,35,4306,123.0
118,33,4110,124.6
119,35,4318,123.4
120,31,4264,137.6
121,31,4270,137.7
122,36,4196,116.6
123,34,4077,119.9
124,31,4216,136.0
125,33,4118,124.8
126,29,4086,140.9
127,30,4246,141.5
128,31,4361,140.7
129,36,4310,119.7
130,35,4396,125.6
131,30,4281,142.7
132,34,4232,124.5
133,36,4301,119.5
134,33,4140,125.4
135,29,4272,147.3
136,30,4092,136.4
137,35,4276,122.2
138,33,4263,129.2
139,30,4450,148.3
140,28,4455,159.1
141,29,4345,149.8
142,28,4415,157.7
143,30,4486,149.5
144,28,4409,157.5
145,29,4447,153.3
146,31,4506,145.4
147,29,4275,147.4
148,30,4465,148.8
149,32,4588,143.4
150,26,4532,174.3
151,27,4571,169.3
152,26,4530,174.2
153,24,4408,183.7
154,26,4390,168.8
155,29,4398,151.7
156,27,4503,166.8
157,24,4455,185.6
158,27,4429,164.0
159,29,4458,153.7
160,28,4588,163.9
161,28,4706,168.1
162,26,4536,174.5
163,26,4565,175.6
164,26,4474,172.1
165,26,4594,176.7
166,25,4538,181.5
167,26,4365,167.9
168,24,4360,181.7
169,25,4316,172.6
170,25,4306,172.2
171,26,4409,169.6
172,29,4607,158.9
173,28,4432,158.3
174,26,4487,172.6
175,27,4423,163.8
176,31,4642,149.7
177,30,4585,152.8
178,27,4667,172.8
179,25,4470,178.8
180,25,4693,187.7
181,25,4352,174.1
182,29,4475,154.3
183,28,4516,161.3
184,28,4483,160.1
185,30,4568,152.3
186,25,4465,178.6
187,24,4615,192.3
188,27,4590,170.0
189,25,4551,182.0
190,23,4578,199.0
191,23,4676,203.3
192,26,4705,181.0
193,29,4674,161.2
194,24,4705,196.0
195,28,4564,163.0
196,25,4714,188.6
197,25,4731,189.2
198,25,4775,191.0
199,23,4716,205.0
200,24,4715,196.5
201,26,4754,182.8
202,23,4746,206.4
203,25,4736,189.4
204,24,4699,195.8
205,24,4685,195.2
206,24,4631,193.0
207,23,4660,202.6
208,23,4685,203.7
209,24,4654,193.9
210,25,4659,186.4
211,25,4682,187.3
212,25,4717,188.7
213,23,4630,201.3
214,23,4596,199.8
215,23,4641,201.8
216,26,4848,186.5
217,22,4691,213.2
218,22,4600,209.1
219,22,4589,208.6
220,23,4663,202.7
221,24,4775,199.0
222,22,4717,214.4
223,24,4844,201.8
224,21,4721,224.8
225,23,4785,208.0
226,25,4861,194.4
227,26,4646,178.7
228,27,4759,176.3
229,25,4526,181.0
230,24,4740,197.5
231,23,4693,204.0
232,26,4667,179.5
233,26,4812,185.1
234,27,4653,172.3
235,23,4705,204.6
236,27,4792,177.5
237,26,4797,184.5
238,28,4914,175.5
239,28,4879,174.2
240,26,4800,184.6
241,26,4814,185.2
242,28,4863,173.7
243,26,4804,184.8
244,27,4818,178.4
245,26,4783,184.0
246,26,4898,188.4
247,27,4793,177.5
248,26,4782,183.9
249,24,4759,198.3
250,25,4860,194.4
251,24,4735,197.3
252,25,4797,191.9
253,26,4812,185.1
254,26,4796,184.5
255,25,4700,188.0
256,24,4855,202.3
257,26,4899,188.4
258,26,4857,186.8
259,22,4840,220.0
260,22,4812,218.7
261,27,4970,184.1
262,25,4860,194.4
263,24,4811,200.5
264,21,4766,227.0
265,24,4917,204.9
266,21,4769,227.1
267,21,4741,225.8
268,24,4804,200.2
269,24,4912,204.7
270,26,4989,191.9
271,24,4950,206.2
272,22,4930,224.1
273,22,4866,221.2
274,21,4909,233.8
275,22,4801,218.2
276,21,4857,231.3
277,21,4851,231.0
278,23,4925,214.1
279,25,5032,201.3
280,25,4983,199.3
281,25,5022,200.9
282,25,5056,202.2
283,24,4979,207.5
284,25,4891,195.6
285,24,4912,204.7
286,26,4990,191.9
287,26,4896,188.3
288,26,4902,188.5
289,26,5046,194.1
290,24,5082,211.8
291,23,5008,217.7
292,24,4931,205.5
293,24,5023,209.3
294,25,4995,199.8
295,26,5064,194.8
296,26,4875,187.5
