Frame,sheet_count,total_peptides_in_sheets,avg_sheet_size
0,20,146,7.3
1,35,229,6.5
2,26,184,7.1
3,34,194,5.7
4,35,210,6.0
5,30,211,7.0
6,34,246,7.2
7,38,235,6.2
8,45,303,6.7
9,34,245,7.2
10,33,239,7.2
11,35,260,7.4
12,41,287,7.0
13,33,237,7.2
14,39,313,8.0
15,41,281,6.9
16,39,334,8.6
17,41,346,8.4
18,36,293,8.1
19,42,290,6.9
20,49,354,7.2
21,46,360,7.8
22,46,351,7.6
23,44,359,8.2
24,48,389,8.1
25,51,415,8.1
26,41,357,8.7
27,52,397,7.6
28,46,379,8.2
29,47,399,8.5
30,48,374,7.8
31,53,457,8.6
32,61,475,7.8
33,50,419,8.4
34,52,464,8.9
35,54,483,8.9
36,56,487,8.7
37,57,515,9.0
38,53,430,8.1
39,56,473,8.4
40,54,440,8.1
41,50,451,9.0
42,56,483,8.6
43,55,487,8.9
44,56,508,9.1
45,55,561,10.2
46,50,507,10.1
47,59,595,10.1
48,46,483,10.5
49,57,493,8.6
50,48,496,10.3
51,55,520,9.5
52,59,545,9.2
53,64,589,9.2
54,55,526,9.6
55,52,513,9.9
56,54,542,10.0
57,54,524,9.7
58,52,534,10.3
59,56,561,10.0
60,47,519,11.0
61,59,597,10.1
62,56,607,10.8
63,59,618,10.5
64,54,595,11.0
65,56,616,11.0
66,54,568,10.5
67,60,668,11.1
68,50,605,12.1
69,49,615,12.6
70,60,658,11.0
71,56,622,11.1
72,49,599,12.2
73,55,604,11.0
74,57,641,11.2
75,54,630,11.7
76,52,611,11.8
77,49,536,10.9
78,57,585,10.3
79,54,608,11.3
80,54,633,11.7
81,58,650,11.2
82,54,589,10.9
83,53,626,11.8
84,59,651,11.0
85,63,678,10.8
86,51,610,12.0
87,59,690,11.7
88,59,688,11.7
89,57,648,11.4
90,49,585,11.9
91,59,646,10.9
92,50,638,12.8
93,55,628,11.4
94,50,608,12.2
95,43,650,15.1
96,55,714,13.0
97,52,648,12.5
98,52,626,12.0
99,57,662,11.6
100,63,644,10.2
101,56,671,12.0
102,54,685,12.7
103,51,638,12.5
104,51,696,13.6
105,59,670,11.4
106,42,674,16.0
107,48,696,14.5
108,52,691,13.3
109,48,664,13.8
110,49,691,14.1
111,48,721,15.0
112,48,693,14.4
113,50,696,13.9
114,51,707,13.9
115,57,738,12.9
116,51,748,14.7
117,60,728,12.1
118,53,709,13.4
119,48,734,15.3
120,52,727,14.0
121,56,729,13.0
122,50,767,15.3
123,56,743,13.3
124,45,711,15.8
125,46,727,15.8
126,51,742,14.5
127,44,737,16.8
128,46,680,14.8
129,46,700,15.2
130,46,669,14.5
131,52,722,13.9
132,47,705,15.0
133,50,731,14.6
134,48,768,16.0
135,44,758,17.2
136,47,705,15.0
137,47,746,15.9
138,48,731,15.2
139,46,781,17.0
140,51,757,14.8
141,46,719,15.6
142,51,741,14.5
143,53,748,14.1
144,49,735,15.0
145,47,708,15.1
146,41,716,17.5
147,39,700,17.9
148,42,717,17.1
149,44,718,16.3
150,45,743,16.5
151,37,702,19.0
152,45,720,16.0
153,38,714,18.8
154,47,756,16.1
155,42,748,17.8
156,48,776,16.2
157,48,737,15.4
158,46,740,16.1
159,48,759,15.8
160,50,736,14.7
161,41,754,18.4
162,45,749,16.6
163,45,782,17.4
164,40,770,19.2
165,38,818,21.5
166,45,746,16.6
167,44,803,18.2
168,42,785,18.7
169,41,798,19.5
170,43,809,18.8
171,49,846,17.3
172,45,779,17.3
173,39,790,20.3
174,42,804,19.1
175,36,790,21.9
176,41,791,19.3
177,44,845,19.2
178,36,819,22.8
179,40,827,20.7
180,40,768,19.2
181,41,756,18.4
182,42,803,19.1
183,39,826,21.2
184,44,809,18.4
185,43,788,18.3
186,40,783,19.6
187,39,752,19.3
188,46,782,17.0
189,41,756,18.4
190,36,723,20.1
191,40,748,18.7
192,43,791,18.4
193,45,804,17.9
194,36,770,21.4
195,40,741,18.5
196,37,721,19.5
197,40,729,18.2
198,44,751,17.1
199,51,773,15.2
200,39,692,17.7
201,41,762,18.6
202,44,748,17.0
203,44,737,16.8
204,42,708,16.9
205,47,768,16.3
206,43,734,17.1
207,45,753,16.7
208,43,756,17.6
209,48,766,16.0
210,42,767,18.3
211,43,774,18.0
212,43,838,19.5
213,43,795,18.5
214,42,802,19.1
215,36,842,23.4
216,39,794,20.4
217,38,746,19.6
218,47,821,17.5
219,40,823,20.6
220,42,787,18.7
221,33,795,24.1
222,41,812,19.8
223,41,791,19.3
224,55,821,14.9
225,41,802,19.6
226,35,802,22.9
227,43,801,18.6
228,41,819,20.0
229,44,770,17.5
230,38,806,21.2
231,38,799,21.0
232,39,790,20.3
233,32,795,24.8
234,39,788,20.2
235,45,793,17.6
236,38,774,20.4
237,38,797,21.0
238,39,790,20.3
239,33,792,24.0
240,38,777,20.4
241,38,771,20.3
242,43,786,18.3
243,41,771,18.8
244,42,789,18.8
245,44,782,17.8
246,44,834,19.0
247,39,814,20.9
248,37,805,21.8
249,43,825,19.2
250,48,804,16.8
251,39,810,20.8
252,40,844,21.1
253,51,828,16.2
