Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
0,83,4339,52.3
1,85,4555,53.6
2,85,4633,54.5
3,87,5032,57.8
4,93,5320,57.2
5,90,5132,57.0
6,92,5500,59.8
7,91,5603,61.6
8,95,6051,63.7
9,90,5860,65.1
10,83,5366,64.7
11,87,5419,62.3
12,92,5859,63.7
13,90,5931,65.9
14,88,5700,64.8
15,91,6121,67.3
16,93,5925,63.7
17,92,6061,65.9
18,92,6019,65.4
19,96,6655,69.3
20,83,5866,70.7
21,80,5599,70.0
22,84,6004,71.5
23,90,6358,70.6
24,97,7167,73.9
25,92,6658,72.4
26,83,6243,75.2
27,88,6435,73.1
28,88,6571,74.7
29,94,7231,76.9
30,91,6890,75.7
31,82,6522,79.5
32,85,6860,80.7
33,81,6696,82.7
34,84,6890,82.0
35,84,6615,78.8
36,76,6245,82.2
37,74,6313,85.3
38,74,6203,83.8
39,76,6367,83.8
40,72,6181,85.8
41,79,6660,84.3
42,73,6517,89.3
43,77,7084,92.0
44,83,7538,90.8
45,77,7484,97.2
46,77,7645,99.3
47,73,7454,102.1
48,72,6931,96.3
49,74,7191,97.2
50,74,6964,94.1
51,73,7655,104.9
52,74,7106,96.0
53,72,7248,100.7
54,72,7365,102.3
55,76,7512,98.8
56,74,7006,94.7
57,75,7067,94.2
58,71,7404,104.3
59,66,6425,97.3
60,71,7252,102.1
61,68,7006,103.0
62,66,6681,101.2
63,66,7132,108.1
64,60,6404,106.7
65,65,6937,106.7
66,65,7683,118.2
67,66,7688,116.5
68,58,7172,123.7
69,60,7111,118.5
70,61,6725,110.2
71,57,6750,118.4
72,58,7241,124.8
73,61,7176,117.6
74,58,7521,129.7
75,61,7458,122.3
76,58,7160,123.4
77,65,7518,115.7
78,65,7882,121.3
79,61,7575,124.2
80,60,7539,125.6
81,58,7040,121.4
82,55,7081,128.7
83,59,7700,130.5
84,60,7260,121.0
85,57,7271,127.6
86,54,6656,123.3
87,56,7196,128.5
88,52,6833,131.4
89,51,6929,135.9
90,56,7060,126.1
91,50,6357,127.1
92,52,6381,122.7
93,58,7510,129.5
94,55,6681,121.5
95,48,6180,128.8
96,48,6086,126.8
97,50,6465,129.3
98,51,6209,121.7
99,49,6469,132.0
100,51,6744,132.2
101,46,5974,129.9
102,44,5608,127.5
103,47,5404,115.0
104,46,5371,116.8
105,43,5339,124.2
106,42,4813,114.6
107,44,5024,114.2
108,44,5263,119.6
