Frame,aggregate_count,total_peptides_in_aggregate,avg_aggregate_size
0,17,1072,63.1
1,13,926,71.2
2,14,868,62.0
3,22,1506,68.4
4,22,1528,69.4
5,20,1443,72.2
6,23,1607,69.9
7,22,1575,71.6
8,23,1526,66.4
9,20,1465,73.2
10,30,1991,66.4
11,22,1604,72.9
12,27,1996,73.9
13,25,2042,81.7
14,28,2151,76.8
15,32,2247,70.2
16,24,1939,80.8
17,26,2051,78.9
18,31,2261,72.9
19,28,2262,80.8
20,24,1844,76.8
21,25,1992,79.7
22,27,2052,76.0
23,32,2374,74.2
24,35,2733,78.1
25,32,2430,75.9
26,34,2661,78.3
27,32,2458,76.8
28,33,2578,78.1
29,31,2438,78.6
30,32,2409,75.3
31,39,2946,75.5
32,31,2479,80.0
33,35,2743,78.4
34,39,3222,82.6
35,37,2872,77.6
36,37,2926,79.1
37,38,2939,77.3
38,36,2903,80.6
39,41,3134,76.4
40,39,3043,78.0
41,37,2972,80.3
42,33,2635,79.8
43,37,2967,80.2
44,35,2852,81.5
45,32,2585,80.8
46,37,2964,80.1
47,38,3242,85.3
48,39,3268,83.8
49,38,3093,81.4
50,36,3028,84.1
51,35,2879,82.3
52,40,3254,81.4
53,38,3198,84.2
54,39,3329,85.4
55,34,2849,83.8
56,39,3116,79.9
57,32,2768,86.5
58,35,2841,81.2
59,37,2855,77.2
60,40,3089,77.2
61,35,3057,87.3
62,38,3245,85.4
63,38,3341,87.9
64,33,2807,85.1
65,36,3231,89.8
66,35,3066,87.6
67,41,3361,82.0
68,40,3543,88.6
69,38,3502,92.2
70,43,3797,88.3
71,41,3610,88.0
72,39,3628,93.0
73,43,3772,87.7
74,35,3216,91.9
75,49,4026,82.2
76,42,3267,77.8
77,41,3272,79.8
78,36,2911,80.9
79,33,2733,82.8
80,41,3449,84.1
81,41,3746,91.4
82,38,3426,90.2
83,41,3440,83.9
84,38,3363,88.5
85,40,3765,94.1
86,39,3550,91.0
87,36,3513,97.6
88,34,3208,94.4
89,39,3657,93.8
90,39,3613,92.6
91,35,3183,90.9
92,34,3383,99.5
93,36,3478,96.6
94,44,3788,86.1
95,37,3476,94.0
96,32,3089,96.5
97,38,3462,91.1
98,37,3529,95.4
99,41,3538,86.3
100,31,3310,106.8
101,36,3669,101.9
102,34,3521,103.6
103,35,3282,93.8
104,33,3520,106.7
105,38,3646,96.0
106,37,3538,95.6
107,34,3573,105.1
108,38,3495,92.0
109,32,3103,97.0
110,35,3243,92.7
111,39,3517,90.2
112,34,3243,95.4
113,35,3279,93.7
114,36,3395,94.3
115,38,3534,93.0
116,34,3544,104.2
117,33,3091,93.7
118,38,3364,88.5
119,33,3005,91.1
120,33,3459,104.8
