Frame,tube_count,total_peptides_in_tubes,avg_tube_size
0,3,203,67.7
1,0,0,0.0
2,0,0,0.0
3,2,119,59.5
4,0,0,0.0
5,3,189,63.0
6,2,144,72.0
7,3,239,79.7
8,1,56,56.0
9,1,67,67.0
10,1,56,56.0
11,1,51,51.0
12,2,133,66.5
13,2,129,64.5
14,1,70,70.0
15,1,56,56.0
16,1,57,57.0
17,1,56,56.0
18,2,182,91.0
19,0,0,0.0
20,4,358,89.5
21,3,189,63.0
22,0,0,0.0
23,2,147,73.5
24,5,371,74.2
25,3,191,63.7
26,3,202,67.3
27,5,323,64.6
28,0,0,0.0
29,3,190,63.3
30,2,128,64.0
31,5,341,68.2
32,0,0,0.0
33,0,0,0.0
34,2,203,101.5
35,0,0,0.0
36,2,112,56.0
37,4,253,63.2
38,2,130,65.0
39,3,172,57.3
40,1,63,63.0
41,1,55,55.0
42,3,168,56.0
43,2,116,58.0
44,2,147,73.5
45,0,0,0.0
46,0,0,0.0
47,2,132,66.0
48,3,217,72.3
49,1,84,84.0
50,1,91,91.0
51,1,53,53.0
52,2,125,62.5
53,1,120,120.0
54,1,74,74.0
55,1,84,84.0
56,1,56,56.0
57,2,222,111.0
58,1,77,77.0
59,2,154,77.0
60,0,0,0.0
61,0,0,0.0
62,0,0,0.0
63,4,246,61.5
64,2,133,66.5
65,1,70,70.0
66,1,73,73.0
67,2,140,70.0
68,1,57,57.0
69,4,258,64.5
70,2,210,105.0
71,2,285,142.5
72,2,126,63.0
73,0,0,0.0
74,3,224,74.7
75,2,189,94.5
76,0,0,0.0
77,1,98,98.0
78,1,74,74.0
79,0,0,0.0
80,1,91,91.0
81,1,63,63.0
82,0,0,0.0
83,3,230,76.7
84,0,0,0.0
85,0,0,0.0
86,2,155,77.5
87,2,112,56.0
88,0,0,0.0
89,4,322,80.5
90,1,56,56.0
91,2,133,66.5
92,3,252,84.0
93,1,61,61.0
94,1,196,196.0
95,2,136,68.0
96,0,0,0.0
97,2,125,62.5
98,0,0,0.0
99,2,133,66.5
100,0,0,0.0
101,1,58,58.0
102,0,0,0.0
103,2,175,87.5
104,1,52,52.0
105,1,128,128.0
106,0,0,0.0
107,3,181,60.3
108,3,181,60.3
109,1,82,82.0
110,1,63,63.0
111,1,56,56.0
112,0,0,0.0
113,2,161,80.5
114,2,122,61.0
115,2,125,62.5
116,1,84,84.0
117,0,0,0.0
118,1,70,70.0
119,2,124,62.0
120,1,154,154.0
121,2,192,96.0
122,1,52,52.0
123,1,69,69.0
124,0,0,0.0
125,0,0,0.0
126,3,169,56.3
127,0,0,0.0
128,1,139,139.0
129,1,111,111.0
130,1,70,70.0
131,0,0,0.0
132,1,83,83.0
133,0,0,0.0
134,1,70,70.0
135,0,0,0.0
136,2,294,147.0
137,2,138,69.0
138,0,0,0.0
139,1,96,96.0
140,4,252,63.0
141,2,119,59.5
142,0,0,0.0
143,0,0,0.0
144,2,114,57.0
145,3,174,58.0
146,1,112,112.0
147,1,63,63.0
148,1,61,61.0
149,2,119,59.5
150,1,56,56.0
151,4,265,66.2
152,2,119,59.5
153,1,77,77.0
154,1,80,80.0
155,1,51,51.0
156,2,181,90.5
157,3,172,57.3
158,0,0,0.0
159,0,0,0.0
160,1,98,98.0
161,3,173,57.7
162,2,147,73.5
163,0,0,0.0
164,0,0,0.0
165,1,65,65.0
166,0,0,0.0
167,2,148,74.0
168,2,178,89.0
169,0,0,0.0
170,1,56,56.0
171,0,0,0.0
172,1,71,71.0
173,1,83,83.0
174,3,224,74.7
175,1,58,58.0
176,0,0,0.0
177,0,0,0.0
178,1,77,77.0
179,0,0,0.0
180,0,0,0.0
181,0,0,0.0
