Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
0,33,1399,42.4
1,32,1454,45.4
2,32,1409,44.0
3,33,1779,53.9
4,31,1578,50.9
5,29,1432,49.4
6,42,2055,48.9
7,37,1757,47.5
8,35,1698,48.5
9,38,1735,45.7
10,38,1912,50.3
11,36,1775,49.3
12,32,1650,51.6
13,34,1769,52.0
14,37,1918,51.8
15,43,2225,51.7
16,33,1900,57.6
17,35,1913,54.7
18,42,2145,51.1
19,28,1581,56.5
20,27,1457,54.0
21,39,1968,50.5
22,39,2213,56.7
23,40,1957,48.9
24,39,2189,56.1
25,43,2320,54.0
26,45,2279,50.6
27,41,2294,56.0
28,48,2569,53.5
29,46,2479,53.9
30,46,2499,54.3
31,39,2055,52.7
32,47,2557,54.4
33,44,2495,56.7
34,46,2752,59.8
35,46,2629,57.2
36,44,2608,59.3
37,48,2897,60.4
38,44,2646,60.1
39,43,2516,58.5
40,40,2204,55.1
41,40,2303,57.6
42,43,2554,59.4
43,41,2330,56.8
44,43,2508,58.3
45,51,2617,51.3
46,47,2795,59.5
47,40,2375,59.4
48,41,2434,59.4
49,46,2483,54.0
50,47,2633,56.0
51,41,2329,56.8
52,46,2769,60.2
53,46,2807,61.0
54,49,2800,57.1
55,52,2937,56.5
56,54,3045,56.4
57,45,2541,56.5
58,46,2625,57.1
59,55,3028,55.1
60,41,2298,56.0
61,47,2906,61.8
62,44,2911,66.2
63,48,3175,66.1
64,46,2874,62.5
65,50,3250,65.0
66,46,2710,58.9
67,51,3153,61.8
68,49,3272,66.8
69,40,2744,68.6
70,40,2730,68.2
71,45,2980,66.2
72,46,2932,63.7
73,40,2690,67.2
74,44,2741,62.3
75,43,2912,67.7
76,56,3458,61.8
77,47,2845,60.5
78,42,2740,65.2
79,38,2409,63.4
80,42,2745,65.4
81,41,2964,72.3
82,34,2537,74.6
83,42,2708,64.5
84,43,3009,70.0
85,41,3016,73.6
86,41,2794,68.1
87,37,2914,78.8
88,43,2955,68.7
89,41,2736,66.7
90,41,2871,70.0
91,41,2328,56.8
92,40,2562,64.0
93,45,3282,72.9
94,35,2204,63.0
95,48,3355,69.9
96,53,3253,61.4
97,39,2551,65.4
98,43,2817,65.5
99,45,2975,66.1
100,42,2513,59.8
101,44,3183,72.3
102,38,2723,71.7
103,37,2488,67.2
104,36,2706,75.2
105,39,2944,75.5
106,47,3451,73.4
107,42,3143,74.8
108,41,3188,77.8
109,46,3000,65.2
110,46,3170,68.9
111,49,3332,68.0
112,41,2875,70.1
113,48,3228,67.2
114,44,3375,76.7
115,49,3560,72.7
116,43,2965,69.0
117,49,3140,64.1
118,46,3167,68.8
119,46,3111,67.6
120,41,2819,68.8
121,52,3350,64.4
122,45,3140,69.8
123,35,2654,75.8
124,37,2667,72.1
125,44,3142,71.4
126,33,2175,65.9
127,41,2753,67.1
128,41,3017,73.6
129,41,3157,77.0
130,42,2930,69.8
131,33,2487,75.4
132,48,3418,71.2
133,42,3358,80.0
134,44,3468,78.8
135,42,3170,75.5
136,41,2940,71.7
137,44,2995,68.1
138,39,2912,74.7
139,38,2476,65.2
140,38,3091,81.3
141,37,2941,79.5
142,42,3228,76.9
143,38,2991,78.7
144,37,2926,79.1
145,37,3040,82.2
146,37,3071,83.0
147,38,3016,79.4
148,37,2750,74.3
149,40,2984,74.6
150,49,3443,70.3
151,36,2838,78.8
152,48,3184,66.3
153,40,3208,80.2
154,35,2766,79.0
155,46,3476,75.6
156,47,3417,72.7
157,37,2905,78.5
158,43,3212,74.7
159,44,3430,78.0
160,47,3639,77.4
161,54,3956,73.3
162,43,3241,75.4
163,42,3167,75.4
164,38,3082,81.1
165,46,3393,73.8
166,42,3601,85.7
167,41,3366,82.1
168,41,3476,84.8
169,47,3436,73.1
170,43,3394,78.9
171,38,2840,74.7
172,48,3538,73.7
173,45,3391,75.4
174,51,3562,69.8
175,45,3163,70.3
176,44,3081,70.0
177,46,3255,70.8
178,36,2663,74.0
179,50,3559,71.2
180,47,3197,68.0
181,49,3541,72.3
182,43,3055,71.0
183,42,3093,73.6
184,44,3213,73.0
185,41,3286,80.1
186,38,2944,77.5
187,41,3104,75.7
188,35,2739,78.3
189,42,3522,83.9
190,38,3242,85.3
191,42,3462,82.4
192,49,3705,75.6
193,46,3321,72.2
194,43,3139,73.0
195,53,3805,71.8
196,45,3098,68.8
197,42,3167,75.4
198,46,3183,69.2
199,48,3358,70.0
200,41,3046,74.3
201,41,3333,81.3
202,38,2954,77.7
203,42,3061,72.9
204,36,2477,68.8
205,37,3400,91.9
206,41,3433,83.7
207,39,3354,86.0
208,40,3170,79.2
209,38,3046,80.2
210,43,3629,84.4
211,44,3808,86.5
212,41,3161,77.1
213,41,3619,88.3
214,42,3880,92.4
215,44,3793,86.2
216,51,3850,75.5
217,46,3945,85.8
218,47,3782,80.5
219,42,3651,86.9
220,42,3748,89.2
221,45,3741,83.1
222,40,3302,82.6
223,31,2962,95.5
224,43,3440,80.0
225,44,3574,81.2
226,43,3456,80.4
227,40,2989,74.7
228,43,3111,72.3
229,38,2791,73.4
230,42,3172,75.5
231,43,3129,72.8
232,32,2974,92.9
233,44,3056,69.5
234,45,3588,79.7
235,41,3244,79.1
236,34,2781,81.8
237,36,2602,72.3
238,38,2950,77.6
239,34,2914,85.7
240,40,3550,88.8
241,44,3633,82.6
242,42,3302,78.6
243,44,3916,89.0
244,46,3800,82.6
245,33,2772,84.0
246,38,3469,91.3
247,35,2857,81.6
248,33,2713,82.2
249,36,2799,77.8
250,42,2838,67.6
251,43,3497,81.3
252,45,3318,73.7
253,46,3103,67.5
254,49,3896,79.5
255,41,3158,77.0
256,40,3045,76.1
257,41,3154,76.9
258,43,3411,79.3
259,41,3673,89.6
260,33,2859,86.6
261,42,3434,81.8
262,41,3073,75.0
263,41,3493,85.2
264,31,2449,79.0
265,44,3046,69.2
266,42,3067,73.0
267,35,2864,81.8
268,38,3387,89.1
269,37,2871,77.6
270,48,3785,78.9
271,41,3203,78.1
272,35,2756,78.7
273,40,2937,73.4
274,36,2791,77.5
275,37,2887,78.0
276,35,3281,93.7
277,36,3199,88.9
278,36,3036,84.3
279,40,3253,81.3
280,36,2856,79.3
281,44,3401,77.3
282,38,2752,72.4
283,44,3378,76.8
284,46,3358,73.0
285,42,3460,82.4
286,44,3208,72.9
287,37,3158,85.4
288,47,3422,72.8
289,43,3231,75.1
290,43,2988,69.5
291,47,3880,82.6
292,44,3078,70.0
293,42,3246,77.3
294,44,3553,80.8
295,44,3044,69.2
296,36,2675,74.3
297,46,3319,72.2
298,36,2784,77.3
299,34,2737,80.5
300,33,2679,81.2
