Frame,aggregate_count,total_peptides_in_aggregate,avg_aggregate_size
0,26,2144,82.5
1,30,2280,76.0
2,29,2207,76.1
3,32,2531,79.1
4,37,2902,78.4
5,33,2743,83.1
6,38,2854,75.1
7,34,2715,79.8
8,39,3052,78.3
9,37,3018,81.6
10,39,3248,83.3
11,39,3209,82.3
12,35,2988,85.4
13,38,3085,81.2
14,38,3115,82.0
15,38,3353,88.2
16,38,3113,81.9
17,43,3637,84.6
18,43,3567,83.0
19,39,3316,85.0
20,41,3577,87.2
21,42,3604,85.8
22,38,3334,87.7
23,42,3748,89.2
24,41,3621,88.3
25,46,4121,89.6
26,45,4064,90.3
27,42,3938,93.8
28,39,3680,94.4
29,42,3933,93.6
30,37,3552,96.0
31,45,4169,92.6
32,41,4026,98.2
33,41,3986,97.2
34,39,3965,101.7
35,43,4184,97.3
36,38,4058,106.8
37,42,4356,103.7
38,35,3923,112.1
39,33,3992,121.0
40,41,4591,112.0
41,39,4653,119.3
42,43,4531,105.4
43,47,4725,100.5
44,46,4831,105.0
45,42,4523,107.7
46,41,4599,112.2
47,43,4620,107.4
48,42,4624,110.1
49,41,4712,114.9
50,40,4699,117.5
51,36,4457,123.8
52,39,4537,116.3
53,40,4734,118.4
54,40,4694,117.4
55,38,4693,123.5
56,38,4706,123.8
57,38,4718,124.2
58,36,4756,132.1
59,36,4852,134.8
60,35,4740,135.4
61,37,4823,130.4
62,37,5037,136.1
63,45,4984,110.8
64,37,4760,128.6
65,40,5012,125.3
66,41,5057,123.3
67,40,4956,123.9
68,38,5022,132.2
69,40,5079,127.0
70,40,5169,129.2
71,39,5107,131.0
72,40,5083,127.1
73,40,5078,127.0
74,40,5171,129.3
75,42,5335,127.0
76,34,4790,140.9
77,37,5155,139.3
78,37,5153,139.3
79,40,5150,128.8
80,42,5318,126.6
81,43,5572,129.6
82,40,5348,133.7
83,40,5437,135.9
84,39,5378,137.9
85,38,5273,138.8
86,37,5236,141.5
87,39,5428,139.2
88,39,5448,139.7
89,38,5393,141.9
90,38,5339,140.5
91,35,5243,149.8
92,39,5450,139.7
93,37,5406,146.1
94,38,5475,144.1
95,37,5505,148.8
96,39,5615,144.0
97,39,5605,143.7
98,41,5619,137.0
99,37,5532,149.5
100,36,5599,155.5
101,36,5711,158.6
102,35,5553,158.7
103,35,5447,155.6
104,36,5636,156.6
105,37,5577,150.7
106,38,5647,148.6
107,37,5633,152.2
108,39,5775,148.1
109,39,5661,145.2
110,41,5718,139.5
111,41,5820,142.0
112,37,5556,150.2
113,38,5592,147.2
114,39,5709,146.4
115,38,5781,152.1
116,41,5905,144.0
117,39,5887,151.0
118,42,6041,143.8
119,37,5898,159.4
120,37,5879,158.9
121,40,5953,148.8
122,35,5683,162.4
123,39,5884,150.9
124,35,5520,157.7
125,38,5765,151.7
126,37,5855,158.2
127,41,5765,140.6
128,37,5826,157.5
129,38,5957,156.8
130,36,5736,159.3
131,42,5938,141.4
132,39,5702,146.2
133,36,5898,163.8
134,41,6002,146.4
135,42,6176,147.0
136,34,5806,170.8
137,39,6112,156.7
138,36,6099,169.4
139,40,5917,147.9
140,40,6171,154.3
141,39,6301,161.6
142,39,6267,160.7
143,40,6355,158.9
144,36,6269,174.1
145,38,6342,166.9
146,40,6272,156.8
147,34,6192,182.1
148,39,6294,161.4
149,37,6294,170.1
150,34,6145,180.7
151,36,6287,174.6
152,36,6305,175.1
153,34,6144,180.7
154,37,6330,171.1
155,36,6317,175.5
156,35,6199,177.1
157,38,6302,165.8
158,35,6158,175.9
159,35,6285,179.6
160,36,6355,176.5
161,35,6326,180.7
162,33,6153,186.4
163,33,6246,189.3
164,38,6376,167.8
165,35,6168,176.2
166,33,6063,183.7
167,34,6220,182.9
168,37,6249,168.9
169,34,6361,187.1
170,33,6264,189.8
171,34,6206,182.5
172,33,6174,187.1
173,34,6320,185.9
174,34,6154,181.0
175,32,6062,189.4
176,35,6166,176.2
177,31,6161,198.7
178,31,6215,200.5
179,34,6221,183.0
180,35,6324,180.7
181,34,6268,184.4
182,35,6291,179.7
183,36,6319,175.5
184,33,6212,188.2
185,36,6407,178.0
186,36,6405,177.9
187,33,6239,189.1
188,35,6236,178.2
189,29,6141,211.8
190,29,6006,207.1
191,33,6137,186.0
192,32,6162,192.6
193,30,6193,206.4
194,30,6173,205.8
195,35,6330,180.9
196,34,6347,186.7
197,35,6322,180.6
198,36,6398,177.7
199,35,6294,179.8
200,33,6265,189.8
201,35,6482,185.2
202,29,6134,211.5
203,33,6170,187.0
204,32,6228,194.6
205,32,6269,195.9
206,33,6212,188.2
207,31,6204,200.1
208,30,6535,217.8
209,31,6429,207.4
210,27,6465,239.4
211,30,6438,214.6
212,29,6492,223.9
213,30,6427,214.2
214,33,6526,197.8
215,31,6573,212.0
216,29,6330,218.3
217,27,6172,228.6
218,28,6387,228.1
219,29,6309,217.6
220,30,6375,212.5
221,31,6528,210.6
222,31,6466,208.6
223,30,6373,212.4
224,29,6455,222.6
225,32,6536,204.2
226,33,6636,201.1
227,30,6458,215.3
228,27,6698,248.1
229,25,6517,260.7
230,26,6573,252.8
231,29,6394,220.5
232,28,6607,236.0
233,31,6486,209.2
234,31,6538,210.9
235,31,6508,209.9
236,30,6700,223.3
237,31,6538,210.9
238,29,6421,221.4
239,31,6514,210.1
240,30,6632,221.1
241,30,6449,215.0
242,30,6409,213.6
243,29,6639,228.9
244,31,6527,210.6
245,32,6522,203.8
246,33,6619,200.6
247,32,6515,203.6
248,31,6725,216.9
249,32,6519,203.7
250,30,6503,216.8
251,29,6800,234.5
252,29,6830,235.5
253,30,6687,222.9
254,32,6574,205.4
255,33,6619,200.6
256,32,6549,204.7
257,33,6865,208.0
258,29,6707,231.3
259,30,6688,222.9
260,29,6629,228.6
