Frame,shapes
0,undetermined
1,undetermined
2,undetermined
3,undetermined
4,undetermined
5,undetermined
6,undetermined
7,undetermined
8,undetermined
9,undetermined
10,undetermined
11,undetermined
12,undetermined
13,undetermined
14,undetermined
15,undetermined
16,undetermined
17,undetermined
18,undetermined
19,undetermined
20,undetermined
21,undetermined
22,undetermined
23,undetermined
24,undetermined
25,undetermined
26,undetermined
27,undetermined
28,undetermined
29,undetermined
30,undetermined
31,undetermined
32,undetermined
33,undetermined
34,undetermined
35,undetermined
36,undetermined
37,undetermined
38,undetermined
39,undetermined
40,undetermined
41,undetermined
42,undetermined
43,undetermined
44,undetermined
45,undetermined
46,undetermined
47,undetermined
48,undetermined
49,undetermined
50,undetermined
51,undetermined
52,undetermined
53,undetermined
54,undetermined
55,undetermined
56,undetermined
57,undetermined
58,undetermined
59,undetermined
60,undetermined
61,undetermined
62,undetermined
63,undetermined
64,undetermined
65,undetermined
66,undetermined
67,undetermined
68,undetermined
69,undetermined
70,undetermined
71,undetermined
72,undetermined
73,undetermined
74,undetermined
75,undetermined
76,undetermined
77,undetermined
78,undetermined
79,undetermined
80,undetermined
81,tube
82,undetermined
83,undetermined
84,undetermined
85,undetermined
86,undetermined
87,undetermined
88,undetermined
89,undetermined
90,undetermined
91,undetermined
92,undetermined
93,undetermined
94,undetermined
95,undetermined
96,undetermined
97,undetermined
98,tube
99,undetermined
100,undetermined
101,undetermined
102,undetermined
103,undetermined
104,undetermined
105,undetermined
106,undetermined
107,undetermined
108,undetermined
109,undetermined
110,undetermined
111,undetermined
112,undetermined
113,undetermined
114,undetermined
115,undetermined
116,undetermined
117,undetermined
118,undetermined
119,undetermined
120,undetermined
121,undetermined
122,undetermined
123,undetermined
124,undetermined
125,undetermined
126,undetermined
127,undetermined
128,undetermined
129,undetermined
130,undetermined
131,undetermined
132,undetermined
133,undetermined
134,undetermined
135,undetermined
136,undetermined
137,tube
138,undetermined
139,undetermined
140,undetermined
141,undetermined
142,undetermined
143,undetermined
144,undetermined
145,undetermined
146,undetermined
147,undetermined
148,undetermined
149,undetermined
150,tube
151,undetermined
152,undetermined
153,undetermined
154,undetermined
155,undetermined
156,undetermined
157,undetermined
158,undetermined
159,undetermined
160,undetermined
161,undetermined
162,undetermined
163,undetermined
164,undetermined
165,undetermined
166,undetermined
167,undetermined
168,undetermined
169,undetermined
170,undetermined
171,undetermined
172,undetermined
173,undetermined
174,undetermined
175,undetermined
176,undetermined
177,undetermined
178,undetermined
179,undetermined
180,tube
181,undetermined
182,undetermined
