frame,from_state,to_state,confidence
346,undetermined,vesicles,1.0
355,vesicles,undetermined,0.0
373,undetermined,vesicles,1.0
402,vesicles,undetermined,0.0
417,undetermined,vesicles,1.0
1908,vesicles,tubes,0.8444329574073804
1915,tubes,vesicles,1.0
1916,vesicles,tubes,0.9578747346236679
1919,tubes,vesicles,0.39263925359958174
4229,vesicles,undetermined,0.0
4263,undetermined,tubes,0.9856954690417516
4277,tubes,vesicles,1.0
4303,vesicles,sheets,0.013500421735986857
4310,sheets,vesicles,0.23390672466657134
4313,vesicles,sheets,1.0
4318,sheets,vesicles,1.0
5219,vesicles,sheets,0.013685017329399748
5220,sheets,vesicles,0.9865168125816781
5370,vesicles,sheets,1.0
5386,sheets,vesicles,0.0
