Frame,sheet_count,total_peptides_in_sheets,avg_sheet_size
0,22,172,7.8
1,18,139,7.7
2,17,119,7.0
3,25,194,7.8
4,14,99,7.1
5,14,131,9.4
6,19,148,7.8
7,22,154,7.0
8,20,148,7.4
9,17,139,8.2
10,17,127,7.5
11,19,140,7.4
12,10,80,8.0
13,18,124,6.9
14,21,139,6.6
15,19,149,7.8
16,27,169,6.3
17,31,238,7.7
18,26,164,6.3
19,20,134,6.7
20,23,160,7.0
21,18,143,7.9
22,18,137,7.6
23,20,145,7.2
24,21,147,7.0
25,23,178,7.7
26,22,170,7.7
27,19,161,8.5
28,19,124,6.5
29,24,196,8.2
30,16,129,8.1
31,18,149,8.3
32,22,163,7.4
33,25,182,7.3
34,23,192,8.3
35,20,152,7.6
36,29,202,7.0
37,19,167,8.8
38,22,154,7.0
39,17,124,7.3
40,29,196,6.8
41,25,194,7.8
42,25,171,6.8
43,20,145,7.2
44,24,172,7.2
45,28,214,7.6
46,24,201,8.4
47,23,187,8.1
48,24,183,7.6
49,21,170,8.1
50,24,191,8.0
51,20,170,8.5
52,20,198,9.9
53,23,165,7.2
54,22,181,8.2
55,26,188,7.2
56,19,158,8.3
57,18,170,9.4
58,22,176,8.0
59,24,206,8.6
60,26,218,8.4
61,21,179,8.5
62,26,193,7.4
63,21,177,8.4
64,17,163,9.6
65,27,200,7.4
66,23,190,8.3
67,24,191,8.0
68,24,192,8.0
69,25,222,8.9
70,24,211,8.8
71,26,188,7.2
72,23,196,8.5
73,25,189,7.6
74,25,205,8.2
75,18,151,8.4
76,20,167,8.4
77,28,261,9.3
78,26,206,7.9
79,27,209,7.7
80,28,216,7.7
81,24,213,8.9
82,25,214,8.6
83,32,259,8.1
84,31,264,8.5
85,27,218,8.1
86,28,239,8.5
87,31,248,8.0
88,23,189,8.2
89,21,187,8.9
90,30,234,7.8
91,25,206,8.2
92,25,208,8.3
93,26,220,8.5
94,26,199,7.7
95,25,207,8.3
96,27,214,7.9
97,33,242,7.3
98,27,221,8.2
99,34,272,8.0
