Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
0,39,2113,54.2
1,45,2347,52.2
2,35,1825,52.1
3,35,1892,54.1
4,44,2505,56.9
5,36,2018,56.1
6,37,2183,59.0
7,42,2479,59.0
8,46,2865,62.3
9,43,2630,61.2
10,43,2749,63.9
11,39,2490,63.8
12,40,2411,60.3
13,35,2187,62.5
14,40,2733,68.3
15,51,3109,61.0
16,47,2884,61.4
17,43,2687,62.5
18,51,3087,60.5
19,46,2964,64.4
20,41,2491,60.8
21,49,3185,65.0
22,45,2611,58.0
23,43,3037,70.6
24,50,3429,68.6
25,41,3114,76.0
26,49,3601,73.5
27,44,3234,73.5
28,42,2844,67.7
29,47,3030,64.5
30,45,3058,68.0
31,38,3031,79.8
32,41,2932,71.5
33,41,2940,71.7
34,44,3260,74.1
35,43,3401,79.1
36,36,2829,78.6
37,40,3190,79.8
38,38,3127,82.3
39,50,3795,75.9
40,34,2615,76.9
41,33,2677,81.1
42,37,2860,77.3
43,43,3494,81.3
44,40,3645,91.1
45,44,3678,83.6
46,41,3632,88.6
47,39,3445,88.3
48,40,3409,85.2
49,41,3746,91.4
50,41,3493,85.2
51,37,3724,100.6
52,39,3540,90.8
53,34,3444,101.3
54,40,3740,93.5
55,41,3858,94.1
56,34,3425,100.7
57,40,3968,99.2
58,37,3293,89.0
59,33,3648,110.5
60,43,3977,92.5
61,40,3733,93.3
62,34,3461,101.8
63,49,4373,89.2
64,39,3947,101.2
65,42,4212,100.3
66,33,3333,101.0
67,37,3385,91.5
68,40,3959,99.0
69,38,3863,101.7
70,36,3803,105.6
71,44,4282,97.3
72,37,3597,97.2
73,44,4073,92.6
74,40,3993,99.8
75,38,3814,100.4
76,43,4208,97.9
77,35,3812,108.9
78,40,4418,110.4
79,41,4150,101.2
80,39,4452,114.2
81,39,3992,102.4
82,39,4291,110.0
83,37,4049,109.4
84,34,3582,105.4
85,34,3678,108.2
86,32,3564,111.4
87,36,4155,115.4
88,35,4086,116.7
89,41,4325,105.5
90,35,4036,115.3
91,35,4071,116.3
92,33,3712,112.5
93,37,4159,112.4
94,35,4296,122.7
95,35,4635,132.4
96,35,4229,120.8
97,32,4009,125.3
98,34,3738,109.9
99,27,3217,119.1
100,28,3239,115.7
101,29,3160,109.0
102,32,3589,112.2
103,32,3504,109.5
104,33,3690,111.8
105,31,3505,113.1
106,35,4570,130.6
107,38,4393,115.6
108,33,4581,138.8
109,32,4367,136.5
110,31,3839,123.8
111,32,4271,133.5
112,32,4062,126.9
113,36,4606,127.9
114,35,4789,136.8
115,34,4575,134.6
116,30,4009,133.6
117,33,4554,138.0
118,33,4520,137.0
119,33,4774,144.7
120,31,4264,137.5
121,30,4109,137.0
122,37,5277,142.6
123,35,4999,142.8
124,37,5168,139.7
125,37,5144,139.0
126,34,4852,142.7
127,37,4814,130.1
128,33,4599,139.4
129,38,5209,137.1
130,37,5275,142.6
131,44,5254,119.4
132,41,4678,114.1
133,41,5232,127.6
134,35,4814,137.5
135,31,4321,139.4
136,30,3897,129.9
137,34,5165,151.9
138,29,4482,154.6
139,36,4553,126.5
140,35,5173,147.8
141,31,4534,146.3
