Frame,dominant_state
0,tube
1,tube
2,tube
3,tube
4,tube
5,tube
6,tube
7,tube
8,sheet
9,tube
10,tube
11,tube
12,tube
13,tube
14,tube
15,tube
16,tube
17,sheet
18,tube
19,tube
20,sheet
21,tube
22,tube
23,tube
24,sheet
25,sheet
26,tube
27,sheet
28,sheet
29,tube
30,tube
31,sheet
32,sheet
33,tube
34,tube
35,sheet
36,tube
37,tube
38,tube
39,sheet
40,sheet
41,sheet
42,tube
43,sheet
44,tube
45,sheet
46,tube
47,sheet
48,sheet
49,sheet
50,sheet
51,sheet
52,tube
53,tube
54,tube
55,tube
56,sheet
57,tube
58,tube
59,sheet
60,tube
61,tube
62,tube
63,tube
64,sheet
65,sheet
66,sheet
67,sheet
68,sheet
69,sheet
70,sheet
71,tube
72,sheet
73,tube
74,tube
75,sheet
76,sheet
77,sheet
78,sheet
79,sheet
80,sheet
81,sheet
82,sheet
83,sheet
84,tube
85,sheet
86,tube
87,tube
88,sheet
89,tube
90,sheet
91,sheet
92,sheet
93,tube
94,sheet
95,sheet
96,tube
97,tube
98,sheet
99,sheet
100,tube
101,tube
102,tube
103,sheet
104,sheet
105,tube
106,tube
107,sheet
108,sheet
109,sheet
110,tube
111,sheet
112,sheet
113,sheet
114,sheet
115,sheet
116,sheet
117,sheet
118,sheet
119,sheet
120,sheet
121,sheet
122,sheet
123,sheet
124,tube
125,sheet
126,sheet
127,tube
128,sheet
129,tube
130,sheet
131,sheet
132,sheet
133,sheet
134,sheet
135,sheet
136,tube
137,tube
138,sheet
139,sheet
140,sheet
141,sheet
142,sheet
143,sheet
144,sheet
145,sheet
146,tube
147,sheet
148,sheet
149,sheet
150,sheet
151,sheet
152,sheet
153,sheet
154,sheet
155,sheet
156,tube
157,sheet
158,sheet
159,sheet
160,sheet
161,tube
162,sheet
163,sheet
164,sheet
165,sheet
166,sheet
167,sheet
168,sheet
169,sheet
170,sheet
171,sheet
172,sheet
173,tube
174,tube
175,sheet
176,sheet
177,tube
178,sheet
179,sheet
180,sheet
181,sheet
182,sheet
183,sheet
184,sheet
185,sheet
186,sheet
187,tube
188,tube
189,tube
190,sheet
191,sheet
192,sheet
193,tube
194,tube
195,sheet
196,sheet
197,sheet
198,sheet
199,sheet
200,tube
201,sheet
202,sheet
203,sheet
204,sheet
205,tube
206,sheet
207,sheet
