frame,from_state,to_state,confidence
185,vesicles,fibers,0.0
213,fibers,vesicles,0.3253975842297479
389,vesicles,fibers,0.542690325793915
435,fibers,vesicles,0.34733422606994396
437,vesicles,fibers,0.4626104925909812
444,fibers,vesicles,0.58918358479599
445,vesicles,fibers,0.41368068813264186
460,fibers,vesicles,0.2953290436803343
464,vesicles,fibers,0.49819153603537936
465,fibers,vesicles,0.5045282575405123
474,vesicles,fibers,0.47245370902777284
542,fibers,vesicles,0.39864431019860136
612,vesicles,fibers,0.4859746909428627
618,fibers,vesicles,0.41612381041570295
806,vesicles,fibers,0.7824938936420853
823,fibers,vesicles,0.9798418058865142
879,vesicles,fibers,0.6103010093366898
894,fibers,vesicles,0.3229293216582891
895,vesicles,fibers,0.69614291302096
931,fibers,vesicles,0.986117903369655
935,vesicles,fibers,0.6349087210077478
937,fibers,vesicles,0.39544590732423246
2186,vesicles,fibers,0.0
2192,fibers,vesicles,0.5154560930251837
4403,vesicles,fibers,0.0
4412,fibers,vesicles,0.02770941509836283
9001,vesicles,fibers,0.0
9017,fibers,sheets,0.0033884945376815782
9111,sheets,fibers,0.0
9114,fibers,sheets,1.0
9181,sheets,fibers,0.9965233957231182
9194,fibers,sheets,0.9964387674014775
10881,sheets,vesicles,0.0
