Frame,shape,pathway
0,sheet,sheet->vesicle->tube
1,sheet,sheet->vesicle->tube
2,sheet,sheet->vesicle->tube
3,sheet,sheet->vesicle->tube
4,sheet,sheet->vesicle->tube
5,sheet,sheet->vesicle->tube
6,sheet,sheet->vesicle->tube
7,sheet,sheet->vesicle
8,sheet,sheet->vesicle->tube
9,sheet,sheet->vesicle->tube
10,sheet,sheet->vesicle
11,sheet,sheet->vesicle
12,sheet,sheet->vesicle->tube
13,sheet,sheet->vesicle->tube
14,sheet,sheet->vesicle->tube
15,sheet,sheet->vesicle
16,sheet,sheet->vesicle
17,sheet,sheet->vesicle->tube
18,sheet,sheet->vesicle->tube
19,sheet,sheet->vesicle
20,sheet,sheet->vesicle->tube
21,sheet,sheet->vesicle->tube
22,sheet,sheet->vesicle
23,sheet,sheet->vesicle->tube
24,sheet,sheet->vesicle
25,sheet,sheet->vesicle
26,sheet,sheet->vesicle
27,sheet,sheet->vesicle
28,sheet,sheet->vesicle
29,sheet,sheet->vesicle->tube
30,sheet,sheet->vesicle->tube
31,sheet,sheet->vesicle
32,sheet,sheet->vesicle
33,sheet,sheet->vesicle
34,sheet,sheet->vesicle->tube
35,sheet,sheet->vesicle
36,sheet,sheet->vesicle->tube
37,sheet,sheet->vesicle->tube
38,sheet,sheet->vesicle->tube
39,sheet,sheet->vesicle
40,sheet,sheet->vesicle
41,sheet,sheet->vesicle
42,sheet,sheet->vesicle->tube
43,sheet,sheet->vesicle->tube
44,sheet,sheet->vesicle
45,sheet,sheet->vesicle
46,sheet,sheet->vesicle
47,sheet,sheet->vesicle
48,sheet,sheet->vesicle->tube
49,sheet,sheet->vesicle
50,sheet,sheet->vesicle
51,sheet,sheet->vesicle
52,sheet,sheet->vesicle
53,sheet,sheet->vesicle
54,sheet,sheet->vesicle
55,sheet,sheet->vesicle
56,sheet,sheet->vesicle
57,sheet,sheet->vesicle
58,sheet,sheet->vesicle
59,sheet,sheet->vesicle
60,sheet,sheet->vesicle
61,sheet,sheet->vesicle
62,sheet,sheet->vesicle
63,sheet,sheet->vesicle
64,sheet,sheet->vesicle->tube
65,sheet,sheet->vesicle
66,sheet,sheet->vesicle
67,sheet,sheet->vesicle
68,sheet,sheet->vesicle
69,sheet,sheet->vesicle
70,sheet,sheet->vesicle
71,sheet,sheet->vesicle->tube
72,sheet,sheet->vesicle
73,sheet,sheet->vesicle
74,sheet,sheet->vesicle
75,sheet,sheet->vesicle
76,sheet,sheet->vesicle
77,sheet,sheet->vesicle
78,sheet,sheet->vesicle
79,sheet,sheet->vesicle
80,sheet,sheet->vesicle
81,sheet,sheet->vesicle
82,sheet,sheet->vesicle
83,sheet,sheet->vesicle
84,sheet,sheet->vesicle
85,sheet,sheet->vesicle
86,sheet,sheet->vesicle
87,sheet,sheet->vesicle
88,sheet,sheet->vesicle
89,sheet,sheet->vesicle->tube
90,sheet,sheet->vesicle
91,sheet,sheet->vesicle
92,sheet,sheet->vesicle
93,sheet,sheet->vesicle
94,sheet,sheet->vesicle
95,sheet,sheet->vesicle
96,sheet,sheet->vesicle
97,sheet,sheet->vesicle->tube
98,sheet,sheet->vesicle->tube
99,sheet,sheet->vesicle->tube
100,sheet,sheet->vesicle
101,sheet,sheet->vesicle
102,sheet,sheet->vesicle
103,sheet,sheet->vesicle->tube
104,sheet,sheet->vesicle
105,sheet,sheet->vesicle
106,sheet,sheet->vesicle
107,sheet,sheet->vesicle->tube
108,sheet,sheet->vesicle
109,sheet,sheet->vesicle
110,sheet,sheet->vesicle
111,sheet,sheet->vesicle
112,sheet,sheet->vesicle
113,sheet,sheet->vesicle
114,sheet,sheet->vesicle
115,sheet,sheet->vesicle
116,sheet,sheet->vesicle
117,sheet,sheet->vesicle
118,sheet,sheet->vesicle
119,sheet,sheet->vesicle
120,sheet,sheet->vesicle
121,sheet,sheet->vesicle
122,sheet,sheet->vesicle
123,sheet,sheet->vesicle
124,sheet,sheet->vesicle
125,sheet,sheet->vesicle
126,sheet,sheet->vesicle
127,sheet,sheet->vesicle
128,sheet,sheet->vesicle
129,sheet,sheet->vesicle
130,sheet,sheet->vesicle
131,sheet,sheet->vesicle
132,sheet,sheet->vesicle
133,sheet,sheet->vesicle
134,sheet,sheet->vesicle
135,sheet,sheet->vesicle
136,sheet,sheet->vesicle
137,sheet,sheet->vesicle
138,sheet,sheet->vesicle
139,sheet,sheet->vesicle
140,sheet,sheet->vesicle
141,sheet,sheet->vesicle
142,sheet,sheet->vesicle
143,sheet,sheet->vesicle
144,sheet,sheet->vesicle
145,sheet,sheet->vesicle
146,sheet,sheet->vesicle
147,sheet,sheet->vesicle
148,fiber,fiber-only
149,fiber,fiber-only
150,sheet,sheet->vesicle
151,sheet,sheet->vesicle
152,sheet,sheet->vesicle
153,sheet,sheet->vesicle
154,sheet,sheet->vesicle
155,sheet,sheet->vesicle
156,sheet,sheet->vesicle->tube
157,sheet,sheet->vesicle
158,sheet,sheet->vesicle
159,sheet,sheet->vesicle
160,sheet,sheet->vesicle
161,sheet,sheet->vesicle->tube
162,fiber,fiber-only
